period,price
2015-01-04,5.21365
2015-01-11,5.1813
2015-01-18,5.00922
2015-01-25,5.006
2015-02-01,4.8708
2015-02-08,4.94066
2015-02-15,5.0099
2015-02-22,5.01054
2015-03-01,4.90628
2015-03-08,4.92214
2015-03-15,4.90632
2015-03-22,4.77212
2015-03-29,4.96458
2015-04-05,4.871475
2015-04-12,4.8177
2015-04-19,4.7493
2015-04-26,4.70606
2015-05-03,4.54544
2015-05-10,4.51746
2015-05-17,4.52054
2015-05-24,4.5162
2015-05-31,4.40294
2015-06-07,4.4658
2015-06-14,4.47264
2015-06-21,4.41104
2015-06-28,4.62316
2015-07-05,5.14284
2015-07-12,5.25518
2015-07-19,5.29672
2015-07-26,4.96126
2015-08-02,4.60172
2015-08-09,4.57944
2015-08-16,4.59388
2015-08-23,4.5458
2015-08-30,4.52536
2015-09-06,4.41172
2015-09-13,4.47366
2015-09-20,4.6336
2015-09-27,4.61374
2015-10-04,4.67146
2015-10-11,4.71354
2015-10-18,4.55962
2015-10-25,4.54098
2015-11-01,4.57646
2015-11-08,4.52896
2015-11-15,4.3522
2015-11-22,4.3552
2015-11-29,4.38224
2015-12-06,4.42634
2015-12-13,4.43168
2015-12-20,4.43344
2015-12-27,4.3354
2016-01-03,4.254175
2016-01-10,4.17946
2016-01-17,4.22024
2016-01-24,4.33894
2016-01-31,4.35666
2016-02-07,4.36968
2016-02-14,4.26216
2016-02-21,4.30292
2016-02-28,4.26634
2016-03-06,4.17682
2016-03-13,4.22244
2016-03-20,4.30318
2016-03-27,4.322175
2016-04-03,4.24816
2016-04-10,4.19494
2016-04-17,4.31896
2016-04-24,4.48092
2016-05-01,4.47836
2016-05-08,4.38654
2016-05-15,4.40212
2016-05-22,4.55752
2016-05-29,4.6701
2016-06-05,4.77004
2016-06-12,4.93232
2016-06-19,4.98604
2016-06-26,4.58118
2016-07-03,4.30404
2016-07-10,3.9943
2016-07-17,4.04738
2016-07-24,3.89738
2016-07-31,3.82016
2016-08-07,3.73564
2016-08-14,3.7312
2016-08-21,3.8112
2016-08-28,3.74908
2016-09-04,3.59126
2016-09-11,3.73284
2016-09-18,3.73398
2016-09-25,3.77704
2016-10-02,3.70712
2016-10-09,3.85542
2016-10-16,3.87052
2016-10-23,3.96062
2016-10-30,3.95334
2016-11-06,3.90912
2016-11-13,3.8599
2016-11-20,3.82072
2016-11-27,3.9203
2016-12-04,3.8133
2016-12-11,3.90946
2016-12-18,3.92752
2016-12-25,3.81606
2017-01-01,3.836375
2017-01-08,3.92245
2017-01-15,3.91384
2017-01-22,3.98814
2017-01-29,3.99086
2017-02-05,3.9701
2017-02-12,4.03186
2017-02-19,4.08706
2017-02-26,4.01794
2017-03-05,4.03488
2017-03-12,3.98242
2017-03-19,3.89936
2017-03-26,3.8453
2017-04-02,3.8426
2017-04-09,3.8892
2017-04-16,3.941
2017-04-23,3.86158
2017-04-30,3.85944
2017-05-07,3.91358
2017-05-14,3.88154
2017-05-21,3.87524
2017-05-28,3.9062
2017-06-04,3.8978
2017-06-11,4.0113
2017-06-18,3.98714
2017-06-25,3.85892
2017-07-02,3.80534
2017-07-09,4.0034
2017-07-16,4.002
2017-07-23,3.9495
2017-07-30,3.8705
2017-08-06,3.803
2017-08-13,3.8065
2017-08-20,3.6815
2017-08-27,3.5745
2017-09-03,3.5125
2017-09-10,3.569
2017-09-17,3.5425
2017-09-24,3.507
2017-10-01,3.53